name,district,lat,lon,flats,pop,dist_all,dist_public,openness_penalty,category_all,category_public
Kai Yip Estate,Kwun Tong,22.32958,114.20913,4300,11610,28.433948329842913,28.433948329842913,0.0,Well,Well
Shan King Estate,Tuen Mun,22.39895,113.9663,3600,9720,21.299538098842753,31.248480292551577,9.948942193708824,Well,Well
Kwong Tin Estate,Kwun Tong,22.30332,114.23977,2500,6750,18.553050810628726,50.02965837145239,31.476607560823666,Well,Well
Lok Wah South Estate,Kwun Tong,22.32008,114.22222,7000,18900,2.338550435821053,2.338550435821053,0.0,Well,Well
Lok Wah North Estate,Kwun Tong,22.32222,114.22021,3000,8100,43.7751832158124,44.97131980567785,1.1961365898654535,Well,Well
On Tin Estate,Kwun Tong,22.30781,114.23545,700,1890,8.424286572353969,8.424286572353969,0.0,Well,Well
Ping Tin Estate,Kwun Tong,22.30603,114.23608,5700,15390,36.37834574103117,36.37834574103117,0.0,Well,Well
Po Tat Estate,Kwun Tong,22.31712,114.23779,7400,19980,15.352447230950336,34.07761008858941,18.725162857639074,Well,Well
Sau Mau Ping Estate,Kwun Tong,22.31621,114.23328,12500,33750,59.59575224021023,61.71812832725462,2.122376087044387,Well,Well
Shun On Estate,Kwun Tong,22.32928,114.22636,3000,8100,8.95478163103291,8.95478163103291,0.0,Well,Well
Tak Tin Estate,Kwun Tong,22.30976,114.23962,1500,4050,23.59462494083727,123.74232095481132,100.14769601397404,Well,Well
Tsui Ping (North) Estate,Kwun Tong,22.31555,114.22915,2200,5940,9.594297357394304,105.90233961060987,96.30804225321558,Well,Well
Tsui Ping (South) Estate,Kwun Tong,22.312977,114.23423,4900,13230,66.02272687002989,66.02272687002989,0.0,Well,Well
Sheung Lok Estate,Kowloon City,22.32014,114.1813,400,1080,12.691237521986405,13.26261849987033,0.5713809778839245,Well,Well
Pok Hong Estate,Sha Tin,22.37493,114.19191,600,1620,91.6270204909466,91.6270204909466,0.0,Well,Well
Cheung Shan Estate,Tsuen Wan,22.37898,114.13121,1600,4320,2.592064108087891,2.592064108087891,0.0,Well,Well
Shek Kip Mei Estate,Sham Shui Po,22.33266,114.1653,10800,29160,40.92411059819461,40.92411059819461,0.0,Well,Well
Pak Tin Estate,Sham Shui Po,22.33717,114.16755,9300,25110,47.460273851492715,51.328668325695354,3.8683944742026384,Well,Well
Nam Shan Estate,Sham Shui Po,22.33446,114.17122,2900,7830,32.91153927277338,66.9792278198726,34.06768854709922,Well,Well
Tin Wan Estate,Southern,22.25198,114.15047,3200,8640,7.241478624269029,7.241478624269029,0.0,Well,Well
